"year","title","venue","url","freq","IF","name"
"2007","Shock advisory tool: Detection of life-threatening cardiac arrhythmias and shock success prediction by means of a common parameter set.","Biomed. Signal Proc. and Control","http://dx.doi.org/10.1016/j.bspc.2007.01.002",24,1.532000,"Biomedical Signal Processing and Control"
"2007","Source localization of focal ventricular arrhythmias using linear estimation, correlation, and back propagation networks.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2007.01.008",32,1.240000,"Computers in Biology and Medicine"
"2007","Complexity-Measure-Based Sequential Hypothesis Testing for Real-Time Detection of Lethal Cardiac Arrhythmias.","EURASIP J. Adv. Sig. Proc.","http://dx.doi.org/10.1155/2007/20957",5,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","Real-Time Cardiac Arrhythmia Detection Using WOLA Filterbank Analysis of EGM Signals.","EURASIP J. Adv. Sig. Proc.","http://dx.doi.org/10.1155/2007/76256",5,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","Comparison of FCM, PCA and WT techniques for classification ECG arrhythmias using artificial neural network.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2006.05.014",17,2.240000,"Expert Systems with Applications"
"2007","Choosing Real-Time Predictors for Ventricular Arrhythmia Detection.","IJPRAI","http://dx.doi.org/10.1142/S0218001407005934",1,0.670000,"International Journal of Pattern Recognition and Artificial Intelligence (IJPRAI)"
"2007","Hyperbox classifiers for arrhythmia classification.","Kybernetes","http://dx.doi.org/10.1108/03684920710747129",1,0.416000,"Kybernetes"
"2007","Wavelet transform analysis predicts outcome of DC cardioversion for atrial fibrillation patients.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2006.08.003",32,1.240000,"Computers in Biology and Medicine"
"2007","Use of new liquid nitrogen cryocatheter in the surgical treatment of atrial fibrillation: Clinical experience, mid- and long-term results.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2006.11.008",32,1.240000,"Computers in Biology and Medicine"
"2007","Atrial fibrillation classification with artificial neural networks.","Pattern Recognition","http://dx.doi.org/10.1016/j.patcog.2007.03.008",1,1.551000,"Pattern Recognition"
"2007","P-Wave Morphology Assessment by a Gaussian Functions-Based Model in Atrial Fibrillation Patients.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2006.890134",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Noninvasive ECG as a Tool for Predicting Termination of Paroxysmal Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2007.890741",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Convolutive Blind Source Separation Algorithms Applied to the Electrocardiogram of Atrial Fibrillation: Study of Performance.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2006.889778",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Detecting Ventricular Fibrillation by Time-Delay Methods.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2006.880909",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Taser Dart-to-Heart Distance That Causes Ventricular Fibrillation in Pigs.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2006.888832",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Effect of Electrode Surface Area on Thresholds for AC Stimulation and Ventricular Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2007.904528",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Support vector machine-based arrhythmia classification using reduced features of heart rate variability signal.","Artificial Intelligence in Medicine","http://dx.doi.org/10.1016/j.artmed.2008.04.007",4,2.019000,"Artificial Intelligence in Medicine"
"2008","Cardiac Arrhythmias Classification Method Based on MUSIC, Morphological Descriptors, and Neural Network.","EURASIP J. Adv. Sig. Proc.","http://dx.doi.org/10.1155/2008/935907",5,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2008","Adaptive wavelet network for multiple cardiac arrhythmias recognition.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2007.05.008",17,2.240000,"Expert Systems with Applications"
"2008","Reducing false alarm rates for critical arrhythmias using the arterial blood pressure waveform.","Journal of Biomedical Informatics","http://dx.doi.org/10.1016/j.jbi.2008.03.003",2,2.482000,"Journal of Biomedical Informatics"
"2008","A new arrhythmia clustering technique based on Ant Colony Optimization.","Journal of Biomedical Informatics","http://dx.doi.org/10.1016/j.jbi.2008.01.014",2,2.482000,"Journal of Biomedical Informatics"
"2008","Ventricular arrhythmias and changes in heart rate preceding ventricular tachycardia in patients with an implantable cardioverter defibrillator.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-008-0326-y",26,1.500000,"Medical and Biological Engineering and Computing"
"2008","Cardiac arrhythmia.","Scholarpedia","http://dblp.org/rec/journals/scholarpedia/FentonCG08",1,0.000000,"Scholarpedia"
"2008","A Method for the Analysis of Respiratory Sinus Arrhythmia Using Continuous Wavelet Transforms.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.918576",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Complexity and spectral analysis of the heart rate variability dynamics for distant prediction of paroxysmal atrial fibrillation with artificial intelligence methods.","Artificial Intelligence in Medicine","http://dx.doi.org/10.1016/j.artmed.2008.03.009",4,2.019000,"Artificial Intelligence in Medicine"
"2008","Anesthesia with propofol slows atrial fibrillation dominant frequencies.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2008.04.007",32,1.240000,"Computers in Biology and Medicine"
"2008","Extraction of Desired Signal Based on AR Model with Its Application to Atrial Activity Estimation in Atrial Fibrillation.","EURASIP J. Adv. Sig. Proc.","http://dx.doi.org/10.1155/2008/728409",5,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2008","A non-invasive method to predict electrical cardioversion outcome of persistent atrial fibrillation.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-008-0348-5",26,1.500000,"Medical and Biological Engineering and Computing"
"2008","Preventive Ablation Strategies in a Biophysical Model of Atrial Fibrillation Based on Realistic Anatomical Data.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2007.912672",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Frequency Tracking of Atrial Fibrillation Using Hidden Markov Models.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2007.905488",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","An Automatic System for the Analysis and Classification of Human Atrial Fibrillation Patterns from Intracardiac Electrograms.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.923155",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Phase-Rectified Signal Averaging Used to Estimate the Dominant Frequencies in ECG Signals During Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2001296",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Improved Time-Frequency Analysis of Atrial Fibrillation Signals Using Spectral Modeling.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2002158",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Removal of CPR Artifacts From the Ventricular Fibrillation ECG by Adaptive Regression on Lagged Reference Signals.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2007.902235",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Taser Blunt Probe Dart-To-Heart Distance Causing Ventricular Fibrillation in Pigs.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2002154",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2008","Tachycardia-induced early afterdepolarizations: Insights into potential ionic mechanisms from computer simulations.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2008.08.010",32,1.240000,"Computers in Biology and Medicine"
"2009","Quantification of Respiratory Sinus Arrhythmia Using Hilbert-Huang Transform.","Advances in Adaptive Data Analysis","http://dx.doi.org/10.1142/S1793536909000114",1,0.000000,"Advances in Adaptive Data Analysis (AADA)"
"2009","Application of constrained independent component analysis algorithms in electrocardiogram arrhythmias.","Artificial Intelligence in Medicine","http://dx.doi.org/10.1016/j.artmed.2009.05.006",4,2.019000,"Artificial Intelligence in Medicine"
"2009","Implications of the Turing completeness of reaction-diffusion models, informed by GPGPU simulations on an XBox 360: Cardiac arrhythmias, re-entry and the Halting problem.","Computational Biology and Chemistry","http://dx.doi.org/10.1016/j.compbiolchem.2009.05.001",1,1.117000,"Computational Biology and Chemistry"
"2009","Feasibility of probabilistic neural networks, Kohonen self-organizing maps and fuzzy clustering for source localization of ventricular focal arrhythmias from intravenous catheter measurements.","Expert Systems","http://dx.doi.org/10.1111/j.1468-0394.2008.00492.x",4,0.750000,"Expert Systems in Engineering"
"2009","A novel approach for classification of ECG arrhythmias: Type-2 fuzzy clustering neural network.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2008.08.028",17,2.240000,"Expert Systems with Applications"
"2009","On Two-Dimensional Dynamical Systems Associated with Membrane kinetics Underlying Cardiac Arrhythmias.","I. J. Bifurcation and Chaos","http://dx.doi.org/10.1142/S0218127409023792",3,1.078000,"International Journal of Bifurcation and Chaos"
"2009","Design of a VLSI Hamming Neural Network for Arrhythmia Classification.","Journal of Circuits, Systems, and Computers","http://dx.doi.org/10.1142/S0218126609005381",1,0.250000,"Journal of Circuits, Systems, and Computers"
"2009","A New Approach to Detection of ECG Arrhythmias: Complex Discrete Wavelet Transform Based Complex Valued Artificial Neural Network.","J. Medical Systems","http://dx.doi.org/10.1007/s10916-008-9205-1",6,1.372000,"Journal of Medical Systems"
"2009","Guidance for catheter ablation of ventricular arrhythmia.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-008-0428-6",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Early afterdepolarisations and ventricular arrhythmias in cardiac tissue: a computational study.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-008-0405-0",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Assessment of Autonomic Control and Respiratory Sinus Arrhythmia Using Point Process Models of Human Heart Beat Dynamics.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2009.2016349",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2009","Intelligent System Based on Genetic Programming for Atrial Fibrillation Classification.","Applied Artificial Intelligence","http://dx.doi.org/10.1080/08839510903363420",2,0.402000,"Applied Artificial Intelligence"
"2009","Surface ECG organization analysis to predict paroxysmal atrial fibrillation termination.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2009.05.004",32,1.240000,"Computers in Biology and Medicine"
"2009","Non-invasive organization variation assessment in the onset and termination of paroxysmal atrial fibrillation.","Computer Methods and Programs in Biomedicine","http://dx.doi.org/10.1016/j.cmpb.2008.09.001",9,1.897000,"Computer Methods and Programs in Biomedicine"
"2009","Atrial fibrillation organization: quantification of propofol effects.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-008-0421-0",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Time and frequency series combination for non-invasive regularity analysis of atrial fibrillation.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-009-0495-3",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Right atrial organization and wavefront analysis in atrial fibrillation.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-009-0540-2",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Non-invasive atrial fibrillation organization follow-up under successive attempts of electrical cardioversion.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-009-0519-z",26,1.500000,"Medical and Biological Engineering and Computing"
"2009","Poincaré Surface Profiles of RR Intervals: A Novel Noninvasive Method for the Evaluation of Preferential AV Nodal Conduction During Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2003273",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2009","Waveform Characterization of Atrial Fibrillation Using Phase Information.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2006624",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2009","How Many Leads Are Necessary for a Reliable Reconstruction of Surface Potentials During Atrial Fibrillation?","IEEE Transactions on Information Technology in Biomedicine","http://dx.doi.org/10.1109/TITB.2008.2011894",2,1.440000,"IEEE Journal of Biomedical and Health Informatics"
"2009","Detection of ventricular fibrillation using empirical mode decomposition and Bayes decision theory.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2009.08.007",32,1.240000,"Computers in Biology and Medicine"
"2009","CPR Artifact Removal in Ventricular Fibrillation ECG Signals Using Gabor Multipliers.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2003107",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2009","Spatiotemporal Frequency Analysis of Ventricular Fibrillation in Explanted Human Hearts.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2006031",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2009","Validation of a Novel Catheter Guiding Method for the Ablative Therapy of Ventricular Tachycardia in a Phantom Model.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2008.2006274",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2010","Local fractal dimension based ECG arrhythmia classification.","Biomed. Signal Proc. and Control","http://dx.doi.org/10.1016/j.bspc.2010.01.002",24,1.532000,"Biomedical Signal Processing and Control"
"2010","A new method for classification of ECG arrhythmias using neural network with adaptive activation function.","Digital Signal Processing","http://dx.doi.org/10.1016/j.dsp.2009.10.016",3,1.256000,"Digital Signal Processing"
"2010","Clustering MIT-BIH arrhythmias with Ant Colony Optimization using time domain and PCA compressed wavelet coefficients.","Digital Signal Processing","http://dx.doi.org/10.1016/j.dsp.2009.10.019",3,1.256000,"Digital Signal Processing"
"2010","Fractal QRS-complexes pattern recognition for imperative cardiac arrhythmias.","Digital Signal Processing","http://dx.doi.org/10.1016/j.dsp.2009.12.005",3,1.256000,"Digital Signal Processing"
"2010","A fast expert system for electrocardiogram arrhythmia detection.","Expert Systems","http://dx.doi.org/10.1111/j.1468-0394.2010.00518.x",4,0.750000,"Expert Systems in Engineering"
"2010","A qualitative comparison of Artificial Neural Networks and Support Vector Machines in ECG arrhythmias classification.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2009.09.021",17,2.240000,"Expert Systems with Applications"
"2010","A comparative study of DWT, CWT and DCT transformations in ECG arrhythmias classification.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2010.02.033",17,2.240000,"Expert Systems with Applications"
"2010","Diagnostic study on arrhythmia cordis based on particle swarm optimization-based support vector machine.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2010.02.126",17,2.240000,"Expert Systems with Applications"
"2010","Classification of Cardiac Arrhythmias using Biorthogonal Wavelets and Support Vector Machines.","Int. J. Adv. Comp. Techn.","http://dblp.org/rec/journals/ijact-aicit/AbibullaevKLA10",1,0.000000,"International Journal of Advancements in Computing Technology"
"2010","Gk Based Fuzzy Clustering for the Diagnosis of Cardiac Arrhythmia.","International Journal of Computational Intelligence and Applications","http://dx.doi.org/10.1142/S146902681000280X",2,0.000000,"International Journal of Computational Intelligence and Applications"
"2010","Hybrid Support Vector Machine for imbalanced data in multiclass arrhythmia classification.","I. J. Functional Informatics and Personalised Medicine","http://dx.doi.org/10.1504/IJFIPM.2010.033244",1,0.000000,"International Journal of Functional Informatics and Personalised Medicine (IJFIPM)"
"2010","Random Forest Classifier Based ECG Arrhythmia Classification.","IJHISI","http://dx.doi.org/10.4018/jhisi.2010040101",1,0.000000,"International Journal of Healthcare Information Systems and Informatics (IJHISI)"
"2010","Acute Effects of Sex Steroid Hormones on Susceptibility to Cardiac Arrhythmias: A Simulation Study.","PLoS Computational Biology","http://dx.doi.org/10.1371/journal.pcbi.1000658",5,4.620000,"PLoS Computational Biology"
"2010","A review on sample entropy applications for the non-invasive analysis of atrial fibrillation electrocardiograms.","Biomed. Signal Proc. and Control","http://dx.doi.org/10.1016/j.bspc.2009.11.001",24,1.532000,"Biomedical Signal Processing and Control"
"2010","Role of spiral wave pinning in inhomogeneous active media in the termination of atrial fibrillation by electrical cardioversion.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.02.001",32,1.240000,"Computers in Biology and Medicine"
"2010","Implementation of a novel interpolating method to epicardial potential mapping for atrial fibrillation study.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.02.010",32,1.240000,"Computers in Biology and Medicine"
"2010","Towards automatic detection of atrial fibrillation: A hybrid computational approach.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.10.004",32,1.240000,"Computers in Biology and Medicine"
"2010","Optimal parameters study for sample entropy-based atrial fibrillation organization analysis.","Computer Methods and Programs in Biomedicine","http://dx.doi.org/10.1016/j.cmpb.2010.02.009",9,1.897000,"Computer Methods and Programs in Biomedicine"
"2010","On the reliability of frequency components in systolic arterial pressure in patients with atrial fibrillation.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-010-0588-z",26,1.500000,"Medical and Biological Engineering and Computing"
"2010","Atrial activity estimation from atrial fibrillation ECGs by blind source extraction based on a conditional maximum likelihood approach.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-010-0581-6",26,1.500000,"Medical and Biological Engineering and Computing"
"2010","Analysis of Fractionated Atrial Fibrillation Electrograms by Wavelet Decomposition.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2009.2037974",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2010","Propofol Effects on Atrial Fibrillation Wavefront Delays.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2009.2037312",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2010","Noninvasive Assessment of the Complexity and Stationarity of the Atrial Wavefront Patterns During Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2010.2052619",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2010","An intelligent telecardiology system using a wearable and wireless ECG to detect atrial fibrillation.","IEEE Transactions on Information Technology in Biomedicine","http://dx.doi.org/10.1109/TITB.2010.2047401",2,1.440000,"IEEE Journal of Biomedical and Health Informatics"
"2010","Automatic Segmentation of Rotational X-Ray Images for Anatomic Intra-Procedural Surface Generation in Atrial Fibrillation Ablation Procedures.","IEEE Trans. Med. Imaging","http://dx.doi.org/10.1109/TMI.2009.2021946",5,3.390000,"IEEE Transactions on Medical Imaging"
"2010","Grid Based Genome Wide Studies on Atrial Flutter.","J. Grid Comput.","http://dx.doi.org/10.1007/s10723-010-9163-y",1,1.507000,"Journal of Grid Computing"
"2010","Chaotic based reconstructed phase space features for detecting ventricular fibrillation.","Biomed. Signal Proc. and Control","http://dx.doi.org/10.1016/j.bspc.2010.05.003",24,1.532000,"Biomedical Signal Processing and Control"
"2010","Analysis of unpredictable components within QRS complex using a finite-impulse-response prediction model for the diagnosis of patients with ventricular tachycardia.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.05.002",32,1.240000,"Computers in Biology and Medicine"
"2011","Image-based electrode array tracking for epicardial electrophysiological mapping in minimally invasive arrhythmia surgery.","Int. J. Computer Assisted Radiology and Surgery","http://dx.doi.org/10.1007/s11548-010-0484-x",2,1.659000,"International Journal of Computer Assisted Radiology and Surgery"
"2011","A multi-stage automatic arrhythmia recognition and classification system.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.11.003",32,1.240000,"Computers in Biology and Medicine"
"2011","Random forests ensemble classifier trained with data resampling strategy to improve cardiac arrhythmia diagnosis.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2011.03.001",32,1.240000,"Computers in Biology and Medicine"
"2011","Non-singleton genetic fuzzy logic system for arrhythmias classification.","Eng. Appl. of AI","http://dx.doi.org/10.1016/j.engappai.2010.10.003",2,0.000000,"International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems (IEA/AIE)"
"2011","Exploiting periodicity to extract the atrial activity in atrial arrhythmias.","EURASIP J. Adv. Sig. Proc.","http://dx.doi.org/10.1186/1687-6180-2011-134",5,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2011","Robust multiple cardiac arrhythmia detection through bispectrum analysis.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2010.12.066",17,2.240000,"Expert Systems with Applications"
"2011","The Classification of Electrocardiograph Arrhythmia Patterns using Fuzzy Support Vector Machines.","Int. J. Fuzzy Logic and Intelligent Systems","http://dx.doi.org/10.5391/IJFIS.2011.11.3.204",1,1.100000,"International Journal of Fuzzy Logic and Intelligent Systems"
"2011","Fuzzy Clustered Probabilistic and Multi Layered Feed Forward Neural Networks for Electrocardiogram Arrhythmia Classification.","J. Medical Systems","http://dx.doi.org/10.1007/s10916-009-9355-9",6,1.372000,"Journal of Medical Systems"
"2011","Classification of Arrhythmia Using Hybrid Networks.","J. Medical Systems","http://dx.doi.org/10.1007/s10916-010-9439-6",6,1.372000,"Journal of Medical Systems"
"2011","Arrhythmia Discrimination in Implantable Cardioverter Defibrillators Using Support Vector Machines Applied to a New Representation of Electrograms.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2011.2117424",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","Life-Threatening Arrhythmia Verification in ICU Patients Using the Joint Cardiovascular Dynamical Model and a Bayesian Filter.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2010.2093898",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","Computer-Aided Diagnosis of the Paroxysmal Atrial Fibrillation: a Fuzzy-Evolutionary Approach.","Applied Artificial Intelligence","http://dx.doi.org/10.1080/08839514.2011.595281",2,0.402000,"Applied Artificial Intelligence"
"2011","HeartSaver: A mobile cardiac monitoring system for auto-detection of atrial fibrillation, myocardial infarction, and atrio-ventricular block.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2011.02.002",32,1.240000,"Computers in Biology and Medicine"
"2011","Unstable Cardiac Singularities May lead to Atrial Fibrillation.","I. J. Bifurcation and Chaos","http://dx.doi.org/10.1142/S0218127411028994",3,1.078000,"International Journal of Bifurcation and Chaos"
"2011","Generation of realistic atrial to atrial interval series during atrial fibrillation.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-011-0823-2",26,1.500000,"Medical and Biological Engineering and Computing"
"2011","Microcanonical Processing Methodology for ECG and Intracardial Potential: Application to Atrial Fibrillation.","T. Mass-Data Analysis of Images and Signals","http://dblp.org/rec/journals/mda/PontHYDH11",1,0.000000,"Transactions on Mass-Data Analysis of Images and Signals"
"2011","Development of a tool to improve the quality of decision making in atrial fibrillation.","BMC Med. Inf. &amp; Decision Making","http://dx.doi.org/10.1186/1472-6947-11-59",1,1.496000,"BMC Medical Informatics & Decision Making"
"2011","A Novel Method for Detection of the Transition Between Atrial Fibrillation and Sinus Rhythm.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2010.2096506",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","Classification of Paroxysmal and Persistent Atrial Fibrillation in Ambulatory ECG Recordings.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2011.2112658",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","A Multiscale Graph Theoretical Approach to Gene Regulation Networks: A Case Study in Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2011.2150747",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","An Atrioventricular Node Model for Analysis of the Ventricular Response During Atrial Fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2011.2166262",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","Extraction and Analysis of T Waves in Electrocardiograms During Atrial Flutter.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2010.2099228",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2011","Exploiting correlation of ECG with certain EMD functions for discrimination of ventricular fibrillation.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2010.12.005",32,1.240000,"Computers in Biology and Medicine"
"2011","A simple time domain algorithm for the detection of ventricular fibrillation in electrocardiogram.","Signal, Image and Video Processing","http://dx.doi.org/10.1007/s11760-009-0136-1",2,1.430000,"Signal, Image and Video Processing"
"2011","Classification of ventricular tachycardia and fibrillation using fuzzy similarity-based approximate entropy.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2010.09.058",17,2.240000,"Expert Systems with Applications"
"2011","Correlation Between P-Wave Morphology and Origin of Atrial Focal Tachycardia - Insights From Realistic Models of the Human Atria and Torso.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2011.2161305",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2012","An improved procedure for detection of heart arrhythmias with novel pre-processing techniques.","Expert Systems","http://dx.doi.org/10.1111/j.1468-0394.2011.00606.x",4,0.750000,"Expert Systems in Engineering"
"2012","Analyzing ECG for cardiac arrhythmia using cluster analysis.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2011.07.101",17,2.240000,"Expert Systems with Applications"
